0// yes every line must start with a number, starting from 0
1// lines starting with 'line_no//' are comments and are ignored
2// lines starting with 'line_no   ' (3 spaces) contain data
89   Spawnpoint(1, 1.1f, 0.25f, 110.0f, 6, 3.3f, 0.6f)
90   Wave("simple-r-e")
91   Spawnpoint(7, 1.1f, 0.15f, 135.0f, 3, 4.4f, 0.1f)
92   Spawnpoint(1, 1.1f, 0.20f, 125.0f, 4, 3.9f, 0.9f)
93   Spawnpoint(1, 1.1f, 0.15f, 110.0f, 3, 4.3f, 1.4f)
94   Spawnpoint(7, 1.1f, 0.20f, 120.0f, 4, 3.5f, 1.7f)
95   Wave("balloons-e")
96   Spawnpoint(5, -0.1f, -0.1f, -160.0f, 2, 5.0f, 0.0f)
97   Spawnpoint(5, 0.5f, -0.1f, -180.0f, 2, 5.0f, 0.0f)
98   Spawnpoint(5, 1.1f, -0.1f, 160.0f, 2, 5.0f, 0.0f)
99   Wave("balloons-m")
100   Spawnpoint(5, -0.1f, -0.1f, -130.0f, 2, 7.0f, 3.0f)
101   Spawnpoint(5, -0.1f, 0.1f, -140.0f, 3, 7.0f, 0.0f)
102   Spawnpoint(5, 1.1f, 0.1f, 140.0f, 3, 7.0f, 0.0f)
103   Spawnpoint(5, 1.1f, -0.1f, 130.0f, 2, 7.0f, 3.0f)
104   Wave("balloons-h")
105   Spawnpoint(5, -0.1f, 0.2f, -150.0f, 4, 7.0f, 2.0f)
106   Spawnpoint(5, 0.2f, -0.1f, -160.0f, 3, 8.0f, 1.0f)
107   Spawnpoint(5, 0.4f, -0.1f, -170.0f, 3, 8.0f, 0.0f)
108   Spawnpoint(5, 0.6f, -0.1f, 170.0f, 3, 8.0f, 0.0f)
109   Spawnpoint(5, 0.8f, -0.1f, 160.0f, 3, 8.0f, 1.0f)
110   Spawnpoint(5, 1.1f, 0.2f, 150.0f, 4, 7.0f, 2.0f)
111   Wave("accel-v-e")
112   Spawnpoint(3, -0.1f, -0.1f, -140.0f, 3, 4.5f, 3.0f)
113   Spawnpoint(3, 0.25f, -0.1f, -175.0f, 2, 7.0f, 1.0f)
114   Spawnpoint(3, 0.75f, -0.1f, 175.0f, 2, 7.0f, 1.0f)
115   Spawnpoint(3, 1.1f, -0.1f, 140.0f, 3, 4.5f, 3.0f)
116   Wave("accel-v-h")
117   Spawnpoint(3, -0.1f, -0.1f, -160.0f, 6, 3.5f, 3.0f)
118   Spawnpoint(3, 0.1f, -0.1f, -175.0f, 5, 5.5f, 2.5f)
119   Spawnpoint(3, 0.4f, -0.1f, 180.0f, 4, 6.0f, 0.0f)
120   Spawnpoint(3, 0.6f, -0.1f, 180.0f, 4, 6.0f, 0.0f)
121   Spawnpoint(3, 0.9f, -0.1f, 175.0f, 5, 5.5f, 2.5f)
122   Spawnpoint(3, 1.1f, -0.1f, 160.0f, 6, 3.5f, 3.0f)
123   Wave("accel-h-e")
124   Spawnpoint(3, -0.1f, 0.3f, -110.0f, 3, 2.0f, 0.0f)
125   Spawnpoint(3, -0.1f, 0.4f, -110.0f, 3, 2.0f, 1.0f)
126   Spawnpoint(3, 1.1f, 0.35f, 110.0f, 3, 2.0f, 0.5f)
127   Spawnpoint(3, 1.1f, 0.45f, 110.0f, 3, 2.0f, 1.5f)
128   Wave("accel-h-h")
129   Spawnpoint(3, -0.1f, 0.0f, -120.0f, 6, 2.0f, 0.0f)
130   Spawnpoint(3, -0.1f, 0.1f, -120.0f, 6, 2.0f, 0.5f)
131   Spawnpoint(3, -0.1f, 0.2f, -120.0f, 6, 2.0f, 1.0f)
132   Spawnpoint(3, -0.1f, 0.3f, -120.0f, 6, 2.0f, 1.5f)
133   Spawnpoint(3, 1.1f, 0.05f, 120.0f, 6, 2.0f, 0.25f)
134   Spawnpoint(3, 1.1f, 0.15f, 120.0f, 6, 2.0f, 0.75f)
135   Spawnpoint(3, 1.1f, 0.25f, 120.0f, 6, 2.0f, 1.25f)
136   Spawnpoint(3, 1.1f, 0.35f, 120.0f, 6, 2.0f, 1.75f)
137
